year,total_volume_lakh,total_value_crore,avg_txn_value_rs,months,yoy_volume_growth,total_volume_crore_txns
2016,58.53,1953.0,2722.94,5,,0.59
2017,728.5,24780.0,3406.56,12,1144.6608576798224,7.28
2018,3867.7,85425.0,2503.77,12,430.91283459162656,38.68
2019,33529.72,523649.85,1589.87,12,766.9162551387129,335.3
2020,188809.14,3387748.95,1778.12,12,463.1098022888351,1888.09
2021,387331.41,7157613.21,1854.77,12,105.14441726708776,3873.31
2022,740396.9,12594493.43,1711.52,12,91.15333300751418,7403.97
2023,1176087.51,18287634.93,1561.05,12,58.845547570499,11760.88
2024,1722080.18,24682520.82,1437.32,12,46.42449353109785,17220.8
2025,2282818.51,29974737.55,1315.44,12,32.561685368215535,22828.19
2026,420976.29,5517710.56,1310.86,2,-81.55892427909217,4209.76
